Category_MN,Category_EN,Admin_Code,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
сум,Soum,admin_code,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
Дөрвөлжин,Durvuljin,18116,1400,1300,,,,1500,,,,,1500,1500
Сантмаргац,Santmargats,18134,,,,,,,,1500,1500,1500,1500,1200
Ургамал,Urgamal,18152,1300,1300,1200,1200,1200,1200,1200,1200,1200,1200,1800,1600
Цагаанчулуут,Tsagaanchuluut,18158,,1000,,,1000,,,,,,,
Шилүүстэй,Shiluustei,18164,,,,,,1700,,,,,,1500
Есөнбулаг,Yesunbulag,18201,1400,1200,1410,1400,1550,1700,1750,1750,1750,1700,1750,1750
Алтай,Altai,18204,1100,1100,1300,1500,1500,1600,1600,1600,1800,2000,2000,2200
Баян-Уул,Bayan-Uul,18207,1100,1200,1100,1200,1200,1200,1200,1500,1500,1500,1500,1500
Бигэр,Biger,18210,900,1000,1200,1000,1500,1200,1200,1200,1300,1300,1500,1500
Бугат,Bugat,18213,1000,1000,1000,1000,1000,1000,1300,1300,1600,1600,1600,1600
Дарви,Darvi,18216,1200,1200,1200,1300,1600,1200,1500,1500,1450,1300,1300,1300
Дэлгэр,Delger,18219,900,900,900,900,950,950,950,950,950,1300,1300,1300
Жаргалан,Jargalan,18222,1000,900,1000,1000,1200,1300,1300,1000,1100,1200,1000,1000
Тайшир,Taishir,18225,1000,1000,1000,1000,1000,1000,1000,1000,1500,1500,1500,1500
Тонхил,Tonkhil,18228,900,900,900,900,900,1000,1000,1000,1000,1000,1100,1200
Төгрөг,Tugrug,18231,900,1000,1000,1000,1000,1000,1000,1000,1000,1500,1500,1500
Халиун,Khaliun,18234,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
Хөхморьт,Khukhmorit,18237,1000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
Цогт,Tsogt,18240,1200,1200,1200,1200,1200,1200,1200,1200,1200,1300,1200,1200
Цээл,Tseel,18243,1100,1100,1100,1100,1100,1150,1150,1100,1100,1100,1350,1400
Чандмань,Chandmani,18246,1200,1000,1200,1000,1200,1200,900,1000,1000,1200,1200,1000
Шарга,Sharga,18249,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300
Эрдэнэ,Erdene,18252,1000,1000,900,1000,950,1100,1100,1000,1100,1100,1100,1100
Алтай,Altai,18304,1100,1100,1000,1000,1000,1000,1100,1200,1200,1200,1200,1500
Алтанцөгц,Altantsugts,18307,1400,1400,1350,1400,1500,1500,1500,1500,1500,1600,1600,1800
Баяннуур,Bayannuur,18310,1200,1200,1300,1300,1500,2000,2000,2000,2000,2000,1800,1800
Бугат,Bugat,18313,1200,1200,1200,1200,1200,1200,1200,1200,1400,1400,1400,1400
