Category_MN,Category_EN,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
сум,Soum,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
Улиастай,Uliastai,800,800,800,800,850,850,850,850,850,1000,1000,
Асгат,Asgat,,,,,,,,1050,1200,1490,1350,
Баянтэс,Bayantes,,,,,,,,,1200,1300,1300,
Баянхайрхан,Bayankhairkhan,,,600,900,900,1000,1200,1000,800,1100,1100,1000
Дөрвөлжин,Durvuljin,,,,,,,,,,,1100,
Завханмандал,Zavkhanmandal,,,,,,,,,,,1200,
Идэр,Ider,,,,,800,800,600,1000,1000,1000,1000,
Идэр,Ider,,,800,800,900,900,900,900,900,900,900,
Нөмрөг,Numrug,850,850,850,850,850,850,950,1100,900,1200,1500,1300
Отгон,Otgon,500,,,,500,,800,800,800,850,900,900
Сантмаргац,Santmargats,700,,,,,,,700,800,1000,1000,1000
Тосонцэнгэл,Tosontsengel,,,,,,900,,800,,1000,1500,850
Түдэвтэй,Tudevtei,,,,1000,,,,,,1100,1400,
Тэс,Tes,900,800,1000,,900,900,1000,1000,1100,900,1100,900
Ургамал,Urgamal,1000,1000,1300,1200,1200,1200,800,800,800,800,1300,1200
Ургамал,Urgamal,,,,,,,,,,,800,
Цагаанчулуут,Tsagaanchuluut,,,,,,,800,,,1100,1100,
Шилүүстэй,Shiluustei,,,,,,,850,950,950,950,1000,950
Эрдэнэхайрхан,Erdenekhairkhan,800,800,800,800,800,800,800,1000,1000,1100,1300,1300
Яруу,Yaruu,750,750,700,950,1000,800,900,,1000,1000,1100,1000
Есөнбулаг,Yesunbulag,800,780,775,800,950,900,950,980,1100,1100,1150,1150
Алтай,Altai,700,700,800,800,800,800,800,800,500,800,1000,1050
Баян-Уул,Bayan-Uul,900,600,600,600,600,800,800,800,800,800,800,800
Бигэр,Biger,600,700,800,800,1000,800,800,800,900,900,800,1000
Бугат,Bugat,800,800,800,800,800,800,800,800,1000,800,800,800
Дарви,Darvi,700,700,700,750,720,800,900,900,900,900,1000,1000
Дэлгэр,Delger,850,850,850,850,850,850,850,900,900,900,900,1100
Жаргалан,Jargalan,800,850,950,1300,1200,1200,1200,1100,1100,1000,1200,1200
Тайшир,Taishir,800,800,800,800,800,800,800,800,900,900,900,900
Тонхил,Tonkhil,700,700,700,700,700,800,800,800,800,800,900,1200
Төгрөг,Tugrug,850,1500,1500,1000,1000,1000,1000,1000,1000,1400,1400,1400
Халиун,Khaliun,800,800,800,800,800,800,800,900,900,900,1200,1200
Хөхморьт,Khukhmorit,850,800,800,800,800,800,800,800,800,800,900,1400
Цогт,Tsogt,1200,1200,1200,1200,1200,1200,1200,1200,1100,1300,1100,1100
Цээл,Tseel,800,800,900,1000,1000,1000,1000,900,900,950,1250,1250
Чандмань,Chandmani,500,500,500,500,600,600,800,800,800,1000,1200,1000
Шарга,Sharga,700,800,800,800,800,800,1000,1000,1000,1000,1100,1000
Эрдэнэ,Erdene,850,800,750,950,850,1100,1100,900,850,1000,1100,900
Алтай,Altai,800,800,900,900,1000,1000,1100,1100,1100,1100,1100,1000
Алтанцөгц,Altantsugts,950,850,800,950,1000,1000,1000,1000,900,900,900,1000
Баяннуур,Bayannuur,800,700,600,800,900,800,900,900,900,900,800,1000
Бугат,Bugat,800,800,800,850,850,850,850,850,870,870,870,870
Булган,Bulgan,800,850,900,900,900,1000,1200,1100,900,800,800,900
Буянт,Buyant,850,850,850,850,1000,1200,1200,1200,1200,1200,1200,1200
Дэлүүн,Deluun,900,900,900,900,900,900,900,900,1000,850,850,850
Ногооннуур,Nogoonnuur,750,750,700,700,700,750,750,750,750,750,750,700
Сагсай,Sagsai,800,800,700,700,700,700,700,800,1000,1200,1200,1200
Толбо,Tolbo,800,900,900,950,950,950,900,950,950,950,950,950
Улаанхус,Ulaankhus,800,800,800,800,800,800,800,800,800,800,800,750
Цэнгэл,Tsengel,800,800,800,800,650,850,850,800,1000,800,800,900
Жаргалант,Jargalant,,,,,,,,,1100,,1300,
Булган,Bulgan,,,800,,,,,,,,,
Дарви,Darvi,,,,,,,,,1000,,,
Дөргөн,Durgun,1200,1200,1200,1200,1200,,1200,1200,1200,1200,,
Ховд,Khovd,,,800,,,,,,,1200,1200,
Эрдэнэбүрэн,Erdeneburen,500,,500,500,500,,,,,,,
Баруунтуруун,Baruunturuun,,,800,800,800,,,1200,1200,1100,1200,1200
Бөхмөрөн,Bukhmurun,,,,,,,,,950,,,
Зүүнговь,Zuungovi,,,,,700,,700,700,800,900,900,900
Зүүнхангай,Zuunkhangai,,,,,,,,,1100,,1200,
Малчин,Malchin,,,,,,,900,,,,1000,
Өлгий,Ulgii,800,,800,700,,,,,,1000,,1400
