Category_MN,Category_EN,Admin_Code,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
сум,Soum,admin_code,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
Улиастай,Uliastai,18101,70,70,,,,150,,100,130,,160,130
Алдархаан,Aldarkhaan,18104,150,150,150,120,100,100,,100,120,,150,130
Асгат,Asgat,18107,,,,,125,120,135,130,150,,135,140
Баянтэс,Bayantes,18110,,,,,,150,150,150,140,80,150,150
Баянхайрхан,Bayankhairkhan,18113,,80,110,110,110,150,130,150,120,90,150,120
Дөрвөлжин,Durvuljin,18116,150,130,150,130,120,140,140,,150,90,150,150
Завханмандал,Zavkhanmandal,18119,150,140,150,,,150,150,150,150,90,160,160
Идэр,Ider,18122,,100,100,,150,100,100,120,120,80,120,100
Идэр,Ider,18125,,,100,,140,140,140,140,140,100,150,
Нөмрөг,Numrug,18128,130,130,130,120,130,130,130,130,90,100,150,180
Отгон,Otgon,18131,90,90,90,90,120,120,140,140,130,90,140,140
Сантмаргац,Santmargats,18134,120,120,120,130,130,130,130,140,150,80,150,125
Сонгино,Songino,18137,,,,,,,150,150,,,,
Тосонцэнгэл,Tosontsengel,18140,,,,,,,150,120,150,80,100,
Түдэвтэй,Tudevtei,18143,100,100,,100,,,,120,120,80,140,
Тэлмэн,Telmen,18146,,,,,120,120,120,120,140,80,,
Тэс,Tes,18149,120,120,130,130,140,150,150,150,150,90,150,140
Ургамал,Urgamal,18152,150,150,120,120,150,150,150,150,150,100,150,150
Ургамал,Urgamal,18155,,,,,,120,120,120,130,80,130,
Цагаанчулуут,Tsagaanchuluut,18158,95,120,,,,,120,120,130,100,130,130
Цэцэн-Уул,Tsetsen-Uul,18161,100,100,100,100,100,100,100,140,140,85,150,
Шилүүстэй,Shiluustei,18164,,,100,,90,120,110,100,130,100,120,120
Эрдэнэхайрхан,Erdenekhairkhan,18167,120,120,110,120,120,120,125,120,150,90,150,150
Яруу,Yaruu,18170,90,90,80,120,130,140,130,130,140,90,120,150
Есөнбулаг,Yesunbulag,18201,100,100,100,150,180,170,150,160,170,120,170,170
Алтай,Altai,18204,100,100,100,100,120,120,120,150,150,120,150,160
Баян-Уул,Bayan-Uul,18207,100,100,100,150,100,130,120,130,130,80,140,130
Бигэр,Biger,18210,100,120,120,120,200,150,150,150,150,90,160,150
Бугат,Bugat,18213,110,110,110,110,150,150,150,150,150,100,150,150
Дарви,Darvi,18216,120,120,120,150,160,200,170,150,150,90,150,150
Дэлгэр,Delger,18219,100,100,100,100,150,150,150,150,150,110,150,150
Жаргалан,Jargalan,18222,110,110,150,120,120,150,150,150,150,100,150,140
Тайшир,Taishir,18225,100,100,100,100,120,150,150,150,150,90,150,150
Тонхил,Tonkhil,18228,100,120,120,130,130,110,110,110,110,100,120,170
Төгрөг,Tugrug,18231,95,100,100,100,100,100,100,100,100,110,140.01,140
Халиун,Khaliun,18234,90,90,90,90,150,110,110,150,150,100,150,150
Хөхморьт,Khukhmorit,18237,100,100,100,130,130,150,150,150,150,120,150,120
Цогт,Tsogt,18240,100,120,120,120,120,120,120,120,120,85,120,120
Цээл,Tseel,18243,90,90,110,120,110,110,110,110,120,90,140,140
Чандмань,Chandmani,18246,60,70,60,60,80,100,120,120,180,120,250,150
Шарга,Sharga,18249,100,120,120,150,150,150,130,130,130,100,130,130
Эрдэнэ,Erdene,18252,90,120,150,150,120,150,150,130,150,180,200,250
Алтай,Altai,18304,120,120,150,150,150,150,150,180,180,180,180,150
Алтанцөгц,Altantsugts,18307,125,140,130,160,180,180,180,180,150,120,180,180
Баяннуур,Bayannuur,18310,130,130,150,180,180,150,180,180,180,100,180,220
Бугат,Bugat,18313,130,130,130,130,130,130,130,130,120,115,120,120
Булган,Bulgan,18316,120,130,150,180,180,170,150,150,150,100,150,150
Буянт,Buyant,18319,130,130,130,140,160,180,180,180,180,150,180,180
Дэлүүн,Deluun,18322,120,120,120,120,140,140,130,130,160,120,180,180
Ногооннуур,Nogoonnuur,18325,140,140,160,160,160,160,160,180,180,145,160,160
Сагсай,Sagsai,18328,120,120,100,100,140,130,130,170,180,170,180,180
Толбо,Tolbo,18331,150,140,140,160,180,180,160,180,180,100,160,180
Улаанхус,Ulaankhus,18334,120,130,130,140,120,140,140,140,130,80,100,150
Цэнгэл,Tsengel,18340,150,140,140,160,140,140,140,130,160,120,150,160
Жаргалант,Jargalant,18401,130,,,,,,,,170,80,180,
Алтай,Altai,18404,160,,,,,,,,,,,
Булган,Bulgan,18407,160,,180,,260,,,,,,,
Буянт,Buyant,18410,170,,,,,,,,,,,
Дарви,Darvi,18413,110,,,150,,,,,150,,,
Дөргөн,Durgun,18416,150,130,160,200,170,,180,180,180,100,,
