Category_MN,Category_EN,Admin_Code,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
сум,Soum,admin_code,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
Улиастай,Uliastai,18101,700,700,700,,,,,,1000,,,
Асгат,Asgat,18107,,,,,1000,1100,,1000,1250,1000,1000,
Баянтэс,Bayantes,18110,800,,,,,,,1200,1100,1200,1200,
Баянхайрхан,Bayankhairkhan,18113,,,650,900,1000,1400,1200,1000,1000,1200,1000,900
Дөрвөлжин,Durvuljin,18116,,,,,,,,,1100,1100,1000,
Завханмандал,Zavkhanmandal,18119,900,,,,,800,,,,,1200,
Идэр,Ider,18122,,,,,,800,850,1000,800,800,800,
Идэр,Ider,18125,,,800,800,1000,1000,1000,1000,1000,1000,1000,
Нөмрөг,Numrug,18128,700,700,700,750,900,800,1000,1100,950,1000,1200,1100
Отгон,Otgon,18131,700,700,700,700,900,900,900,900,900,900,900,900
Сантмаргац,Santmargats,18134,900,,,,900,,1500,1200,1200,1200,1200,1200
Тосонцэнгэл,Tosontsengel,18140,,,,,800,1000,,800,800,1000,800,1000
Түдэвтэй,Tudevtei,18143,,,,1000,,,,,750,900,,
Тэлмэн,Telmen,18146,,,,700,,,1000,1000,1000,1000,1000,1000
Тэс,Tes,18149,,850,900,,1000,1100,1000,1000,1000,1100,900,1000
Ургамал,Urgamal,18152,1000,1000,1000,1000,1000,1000,800,800,800,800,1000,900
Ургамал,Urgamal,18155,,,,,,,,,,,1000,
Цагаанчулуут,Tsagaanchuluut,18158,,800,,,,,1000,,,900,1000,
Шилүүстэй,Shiluustei,18164,,,,,,1000,1000,1000,1000,1000,800,900
Эрдэнэхайрхан,Erdenekhairkhan,18167,800,800,800,,800,800,800,1000,1000,1100,1200,1200
Яруу,Yaruu,18170,,,,,,1000,1000,1000,1100,,1200,1200
Есөнбулаг,Yesunbulag,18201,750,730,725,750,850,850,850,880,950,950,1000,1000
Алтай,Altai,18204,900,900,1000,1000,1300,1500,1500,1500,1600,1600,1600,1700
Баян-Уул,Bayan-Uul,18207,900,800,800,800,800,800,850,1000,1000,800,800,1200
Бигэр,Biger,18210,700,800,800,1000,1000,1000,1000,1000,1000,1000,1000,800
Бугат,Bugat,18213,850,850,850,850,850,1000,1200,1200,1200,1200,1200,1200
Дарви,Darvi,18216,900,900,900,800,1000,1200,800,900,900,1000,1000,1000
Дэлгэр,Delger,18219,950,900,900,900,900,900,900,900,900,900,900,1100
Жаргалан,Jargalan,18222,800,650,800,900,900,1000,1000,1000,1000,1000,1000,1000
Тайшир,Taishir,18225,800,800,800,800,800,800,800,800,800,800,800,800
Тонхил,Tonkhil,18228,900,900,900,900,900,900,1000,1000,1000,1000,1100,1000
Төгрөг,Tugrug,18231,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Халиун,Khaliun,18234,700,700,700,700,700,800,900,800,900,900,1000,1000
Хөхморьт,Khukhmorit,18237,800,900,900,900,900,900,900,900,900,900,1000,1200
Цогт,Tsogt,18240,1000,1300,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300
Цээл,Tseel,18243,650,700,750,750,750,750,750,750,800,850,1000,1000
Чандмань,Chandmani,18246,500,500,500,500,800,800,1000,1000,800,1000,1400,1200
Шарга,Sharga,18249,900,800,800,800,800,800,1000,1100,1100,1100,1100,1100
Эрдэнэ,Erdene,18252,800,800,900,900,800,1100,1100,1000,1000,1000,1000,1000
Алтай,Altai,18304,1100,1100,1000,1000,1200,1200,1400,1500,1500,1500,1500,1500
Алтанцөгц,Altantsugts,18307,1350,1350,1200,1250,1400,1400,1400,1400,1500,1600,1600,1800
Баяннуур,Bayannuur,18310,900,900,1000,1200,1200,1500,1600,1600,1600,1600,1400,1500
Бугат,Bugat,18313,1300,1300,1300,1500,1500,1500,1500,1500,1600,1600,1600,1600
Булган,Bulgan,18316,1300,1300,1300,1300,1500,1300,1500,1800,1600,1500,1500,1500
Буянт,Buyant,18319,1200,1200,1200,1500,1500,1500,1500,1500,1500,1500,1500,1500
Дэлүүн,Deluun,18322,1300,1300,1300,1300,1200,1200,1200,1200,1100,1300,1300,1300
Ногооннуур,Nogoonnuur,18325,1300,1200,1100,1200,1200,1400,1400,1400,1400,1400,1400,1400
Сагсай,Sagsai,18328,1200,1100,1000,1000,1000,1250,1250,1500,1600,1500,1500,1500
Толбо,Tolbo,18331,1200,1100,1100,1300,1350,1350,1350,1350,1350,1350,1350,1400
Улаанхус,Ulaankhus,18334,1200,1200,1200,1200,1200,1200,1200,1200,1200,1300,1300,1200
