Category_MN,Category_EN,Admin_Code,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
сум,Soum,admin_code,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
Улиастай,Uliastai,18101,150,150,200,220,220,230,230,230,230,180,210,240
Алдархаан,Aldarkhaan,18104,200,200,200,200,230,230,220,230,220,180,220,240
Асгат,Asgat,18107,,,190,200,200,200,230,235,250,150,210,200
Баянтэс,Bayantes,18110,,180,,200,230,220,250,230,210,130,220,220
Баянхайрхан,Bayankhairkhan,18113,,130,150,200,220,210,220,200,200,150,200,190
Дөрвөлжин,Durvuljin,18116,160,170,180,200,200,200,200,200,220,105,200,200
Завханмандал,Zavkhanmandal,18119,180,170,200,200,200,220,230,230,250,120,250,250
Идэр,Ider,18122,,150,150,200,200,200,200,200,200,120,200,
Идэр,Ider,18125,,,120,180,200,220,200,230,200,150,200,
Нөмрөг,Numrug,18128,180,180,230,220,200,200,200,210,200,180,220,220
Отгон,Otgon,18131,150,150,150,150,220,220,220,200,190,120,190,190
Сантмаргац,Santmargats,18134,150,150,150,180,200,200,200,200,200,120,200,200
Сонгино,Songino,18137,,150,180,200,200,200,200,200,200,100,200,200
Тосонцэнгэл,Tosontsengel,18140,,,,200,220,230,230,250,250,150,250,250
Түдэвтэй,Tudevtei,18143,,,,180,200,200,200,200,200,160,200,180
Тэлмэн,Telmen,18146,,,,200,200,200,200,230,200,140,220,220
Тэс,Tes,18149,180,180,180,180,200,210,210,210,200,110,180,180
Ургамал,Urgamal,18152,180,180,200,200,200,200,200,200,200,120,250,250
Ургамал,Urgamal,18155,,,160,200,230,220,230,180,180,150,150,
Цагаанчулуут,Tsagaanchuluut,18158,,200,,200,220,220,220,200,200,130,200,230
Цэцэн-Уул,Tsetsen-Uul,18161,180,150,150,180,200,200,200,200,200,120,200,200
Шилүүстэй,Shiluustei,18164,,160,180,200,230,230,230,200,170,150,200,200
Эрдэнэхайрхан,Erdenekhairkhan,18167,150,150,180,200,200,210,212,210,210,110,210,210
Яруу,Yaruu,18170,110,110,,200,,200,,180,230,160,220,200
Есөнбулаг,Yesunbulag,18201,150,140,150,250,320,270,250,250,250,190,200,200
