station_id,station_name,river_name,longitude,latitude,forecast_issue_date,window_begin,window_end,avg_bankfull_percentage,avg_moderate_percentage,avg_severe_percentage,trigger_bankfull,trigger_moderate,trigger_severe,trigger_status
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,2/28/14,3/3/14,3/5/14,0.353333333,0,0,0.1,N/A,N/A,bankfull
33,Limpopo__Combomune,Limpopo,32.425,-23.475,2/28/14,3/3/14,3/5/14,0.306666667,0.233333333,0.013333333,0.85,N/A,0.1,not exceeded
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,2/28/14,3/3/14,3/5/14,0.393333333,0.2,0.233333333,0.34,N/A,0.1,severe
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,2/28/14,3/3/14,3/5/14,0.48,0.12,0.24,0.88,N/A,N/A,not exceeded
47,franca,Save,34.525,-21.125,2/28/14,3/3/14,3/5/14,0.266666667,0.326666667,0.26,0.34,0.07,N/A,moderate
86,massangena,Save,32.975,-21.525,2/28/14,3/3/14,3/5/14,0.26,0.173333333,0.186666667,0.52,0.22,0.28,not exceeded
90,gurue,Licungo,36.925,-15.475,2/28/14,3/3/14,3/5/14,0.393333333,0.273333333,0.273333333,N/A,0.07,N/A,moderate
91,mocuba,Licungo,37.025,-16.825,2/28/14,3/3/14,3/5/14,0.34,0.32,0.2,N/A,0.58,0.19,severe
147,nairoto,Messalo,39.025,-12.575,2/28/14,3/3/14,3/5/14,0.173333333,0.226666667,0.14,N/A,0.34,0.28,not exceeded
456,goonda,Buzi,33.875,-19.875,2/28/14,3/3/14,3/5/14,0.266666667,0.2,0.1,N/A,N/A,0.28,not exceeded
