station_id,station name,river_name,longitude,latitude,forecast issue date,window_begin,window_end,avg_bankfull_percentage,avg_moderate_percentage,avg_severe_percentage,trigger_bankfull,trigger_moderate,trigger_severe,trigger_status
288,Chire_em_Vila_Bocage,Zambeze,35.325,-17.475,2/28/14,3/3/14,3/5/14,,,,,0,0,Not Exceeded
246,dombe,Lucite,33.425,-19.975,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
84,espungabera,Buzi,32.825,-20.475,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
47,franca,Save,34.525,-21.125,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
456,goonda,Buzi,33.875,-19.875,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
90,gurue,Licungo,36.925,-15.475,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
33,Limpopo__Combomune,Limpopo,32.425,-23.475,2/28/14,3/3/14,3/5/14,,,,0.12,0,0,Not Exceeded
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
372,Limpopo_em_Macaretane,Limpopo,32.875,-24.425,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,2/28/14,3/3/14,3/5/14,,,,0.06,0,0,Not Exceeded
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,2/28/14,3/3/14,3/5/14,,,,,0,0,Not Exceeded
348,LuenhaLuenha_I,Zambeze,33.425,-16.525,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
86,massangena,Save,32.975,-21.525,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
525,messalo,Messalo,40.125,-11.825,2/28/14,3/3/14,3/5/14,,,,1.00,0,0,Not Exceeded
91,mocuba,Licungo,37.025,-16.825,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
147,nairoto,Messalo,39.025,-12.575,2/28/14,3/3/14,3/5/14,,,,1.00,0,0,Not Exceeded
302,Revubue_em_Chingodzi,Zambeze,33.675,-16.125,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
654,revue,Revue,33.825,-19.775,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
291,Zambeze_em_Caia_SS,Zambeze,35.425,-17.825,2/28/14,3/3/14,3/5/14,,,,1.00,0,0,Not Exceeded
285,Zambeze_em_Marromeu_Sena_Sugar,Zambeze,35.925,-18.275,2/28/14,3/3/14,3/5/14,,,,1.00,0,0,Not Exceeded
320,Zambeze_em_Tete,Zambeze,33.625,-16.125,2/28/14,3/3/14,3/5/14,,,,0.88,0,0,Not Exceeded
310,Zambeze_em_Zumbo,Zambeze,30.475,-15.625,2/28/14,3/3/14,3/5/14,,,,0.00,0,0,Not Exceeded
