,forecast issue date,station name,forecasted date,lead time,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
549,2014-03-04,dombe,2014-03-06,1,167.5625,174.3125,164.21875,168.28125,181.9375,167.84375,168.71875,168.875,165.25,166.625,165.78125
550,2014-03-04,dombe,2014-03-08,3,148.09375,155.84375,141.375,151.3125,162.125,146.90625,158.1875,144.53125,143.4375,143.90625,144.28125
551,2014-03-04,dombe,2014-03-09,4,136.625,144.625,131.90625,147.625,151.15625,140.25,147.71875,132.15625,132.40625,131.625,134.84375
552,2014-03-04,dombe,2014-03-10,5,131.625,138.34375,125.15625,144.71875,139.5625,135.875,140.03125,125.5625,122.28125,122.9375,125.375
553,2014-03-04,dombe,2014-03-11,6,129.875,131.28125,149.5625,150.34375,138.8125,130.53125,134.0625,132.78125,144.71875,114.28125,118.03125
555,2014-03-04,espungabera,2014-03-06,1,32.0,33.21875,31.8125,31.875,32.71875,31.9375,32.46875,32.6875,31.84375,32.0,31.96875
556,2014-03-04,espungabera,2014-03-07,2,31.09375,32.25,30.875,30.96875,31.75,31.0,31.59375,31.75,30.875,31.0625,31.09375
558,2014-03-04,franca,2014-03-06,1,795.71875,802.46875,793.78125,803.5,798.0625,803.5,793.6875,798.3125,810.3125,798.03125,793.9375
559,2014-03-04,franca,2014-03-07,2,1147.6562,1193.875,1132.5312,1192.7188,1141.4062,1206.6562,1135.5312,1164.1562,1227.2188,1165.0938,1128.125
560,2014-03-04,franca,2014-03-08,3,1174.0938,1267.625,1134.75,1230.9688,1171.0625,1262.125,1172.0938,1186.4062,1245.125,1196.1562,1129.0938
561,2014-03-04,franca,2014-03-09,4,1059.9688,1182.5,997.625,1103.7188,1083.4688,1139.8125,1081.5625,1041.8438,1088.6875,1074.5625,991.5625
562,2014-03-04,franca,2014-03-10,5,931.28125,1077.2812,855.875,958.125,955.25,1002.90625,965.1875,889.5,913.90625,931.125,840.75
563,2014-03-04,franca,2014-03-11,6,820.40625,1012.75,759.34375,847.71875,827.5625,901.1875,886.6875,877.875,774.71875,795.15625,716.0625
565,2014-03-04,goonda,2014-03-06,1,447.6875,459.1875,445.03125,448.65625,461.03125,448.25,449.25,449.59375,448.25,447.53125,446.28125
566,2014-03-04,goonda,2014-03-07,2,431.03125,450.0,423.0625,433.21875,455.21875,429.96875,439.21875,432.21875,428.40625,429.84375,427.59375
567,2014-03-04,goonda,2014-03-08,3,414.71875,432.6875,405.5,418.71875,435.3125,413.4375,426.75,412.15625,410.96875,411.3125,410.40625
568,2014-03-04,goonda,2014-03-09,4,396.40625,413.84375,389.4375,408.78125,415.65625,399.8125,408.75,392.1875,392.78125,391.46875,393.90625
569,2014-03-04,goonda,2014-03-10,5,383.4375,400.4375,493.0625,402.03125,397.65625,388.5625,394.8125,377.40625,402.65625,374.5625,378.28125
570,2014-03-04,goonda,2014-03-11,6,377.1875,388.875,661.21875,404.875,387.25,379.78125,383.65625,382.875,548.8125,367.5,363.625
572,2014-03-04,gurue,2014-03-06,1,0.53125,0.5,0.4375,7.71875,0.5,0.71875,0.5,0.96875,0.4375,0.75,0.46875
573,2014-03-04,gurue,2014-03-07,2,1.21875,0.5625,2.6875,8.28125,0.40625,0.65625,0.71875,1.71875,2.15625,0.40625,0.4375
574,2014-03-04,gurue,2014-03-08,3,1.1875,0.59375,4.46875,10.9375,3.96875,2.46875,0.6875,2.28125,9.21875,0.28125,0.8125
575,2014-03-04,gurue,2014-03-09,4,5.1875,0.875,4.8125,9.6875,4.84375,10.15625,0.65625,3.0,17.6875,0.25,0.78125
576,2014-03-04,gurue,2014-03-10,5,5.78125,1.71875,4.25,6.71875,5.15625,9.34375,1.59375,2.0,13.8125,0.25,0.5
577,2014-03-04,gurue,2014-03-11,6,3.8125,1.09375,2.65625,3.96875,4.90625,6.34375,2.5625,1.0625,10.03125,0.8125,0.40625
579,2014-03-04,massangena,2014-03-06,1,1092.375,1110.3125,1085.8125,1120.375,1083.0312,1125.5625,1083.6562,1102.4062,1152.0938,1102.9062,1082.4375
580,2014-03-04,massangena,2014-03-07,2,1202.5,1266.125,1174.2188,1260.8438,1177.4688,1287.1562,1189.9375,1224.0625,1288.6875,1224.7812,1164.5938
581,2014-03-04,massangena,2014-03-08,3,1104.0,1209.125,1046.625,1150.625,1115.2188,1186.1562,1119.5312,1097.8125,1146.75,1121.4375,1041.7188
582,2014-03-04,massangena,2014-03-09,4,966.65625,1093.25,891.21875,988.71875,992.625,1034.8125,996.90625,925.21875,962.8125,973.0625,879.65625
583,2014-03-04,massangena,2014-03-10,5,844.78125,1019.5,765.90625,849.59375,857.3125,922.4375,897.65625,819.96875,791.78125,829.78125,741.0
584,2014-03-04,massangena,2014-03-11,6,748.9375,971.125,738.0,771.84375,743.15625,842.65625,866.40625,934.75,653.5,695.59375,633.28125
586,2014-03-04,messalo,2014-03-06,1,524.875,522.5,516.375,531.6875,517.4375,537.15625,523.4375,523.03125,526.59375,532.9375,518.0625
587,2014-03-04,messalo,2014-03-07,2,502.96875,493.15625,483.34375,517.9375,482.75,535.6875,504.84375,496.375,512.03125,523.71875,485.0
588,2014-03-04,messalo,2014-03-08,3,480.84375,478.75,454.90625,514.9375,457.03125,535.875,498.8125,483.65625,502.375,497.625,462.84375
589,2014-03-04,messalo,2014-03-09,4,470.65625,477.96875,436.09375,531.5625,434.4375,542.6875,507.375,485.15625,492.0,472.375,440.125
591,2014-03-04,mocuba,2014-03-06,1,217.6875,228.15625,213.5625,298.53125,213.4375,222.5,213.625,229.25,213.40625,218.71875,214.0
592,2014-03-04,mocuba,2014-03-07,2,161.1875,174.84375,142.1875,334.78125,141.84375,166.5625,145.84375,179.03125,146.90625,154.8125,148.5
593,2014-03-04,mocuba,2014-03-08,3,149.875,143.0625,107.625,392.75,105.125,145.5,114.3125,150.09375,194.875,110.96875,132.78125
594,2014-03-04,mocuba,2014-03-09,4,151.3125,107.96875,122.09375,503.75,92.4375,188.6875,94.65625,135.875,540.21875,83.25,125.65625
595,2014-03-04,mocuba,2014-03-10,5,147.59375,82.59375,211.8125,553.21875,104.25,304.125,78.25,149.59375,748.4375,66.34375,99.78125
596,2014-03-04,mocuba,2014-03-11,6,130.46875,72.84375,277.875,454.8125,105.9375,329.40625,67.71875,121.875,693.46875,58.53125,74.65625
598,2014-03-04,revue,2014-03-06,1,18.59375,18.65625,18.40625,18.625,18.71875,18.46875,18.5625,18.5,18.46875,18.5625,18.46875
599,2014-03-04,revue,2014-03-07,2,17.40625,17.4375,16.9375,17.40625,17.875,17.03125,17.46875,17.0625,17.0625,17.3125,17.0625
600,2014-03-04,revue,2014-03-08,3,16.21875,16.125,15.53125,16.40625,16.53125,15.71875,16.34375,15.625,15.65625,15.9375,15.59375
601,2014-03-04,revue,2014-03-09,4,15.0625,14.78125,14.28125,16.03125,15.0625,14.625,15.15625,14.40625,14.375,14.625,14.5
