ST,DT,TS,60km,90km,120km, Total 
State,District,Township, 60 km/h , 90 km/h , 120 km/h , Total 
Ayeyarwady,Hinthada,Hinthada,"21,339",,,"21,339"
Ayeyarwady,Hinthada,Ingapu,"199,693",,,"199,693"
Ayeyarwady,Hinthada,Kyangin,"98,499",,,"98,499"
Ayeyarwady,Hinthada,Lemyethna,"68,034",,,"68,034"
Ayeyarwady,Hinthada,Myanaung,"202,745",,,"202,745"
Ayeyarwady,Pathein,Kangyidaunt,"3,582",,,"3,582"
Ayeyarwady,Pathein,Ngapudaw,"71,728",,,"71,728"
Ayeyarwady,Pathein,Pathein,"144,541",,,"144,541"
Ayeyarwady,Pathein,Thabaung,"122,332",,,"122,332"
Ayeyarwady,Pathein,Yegyi,"92,263",,,"92,263"
Bago (East),Taungoo,Oktwin,"5,178",,,"5,178"
Bago (East),Taungoo,Phyu, -   ,,, -   
Bago (East),Taungoo,Taungoo,254,,,254
Bago (East),Taungoo,Yedashe,"8,584",,,"8,584"
Bago (West),Pyay,Padaung,"154,879",,,"154,879"
Bago (West),Pyay,Paukkhaung,"133,666",,,"133,666"
Bago (West),Pyay,Paungde,"147,267",,,"147,267"
Bago (West),Pyay,Pyay,"269,104",,,"269,104"
Bago (West),Pyay,Shwedaung,"130,062",,,"130,062"
Bago (West),Pyay,Thegon,"140,197",,,"140,197"
Bago (West),Thayarwady,Gyobingauk,"3,258",,,"3,258"
Bago (West),Thayarwady,Monyo,"26,615",,,"26,615"
Bago (West),Thayarwady,Nattalin,"164,709",,,"164,709"
Bago (West),Thayarwady,Zigon,"51,265",,,"51,265"
Chin,Falam,Falam,"52,733","2,574",,"55,307"
Chin,Falam,Tedim,"96,516",,,"96,516"
Chin,Falam,Tonzang,"35,113",,,"35,113"
Chin,Hakha,Hakha,"53,259","53,128", -   ,"106,387"
Chin,Hakha,Thantlang,"55,486","2,491",,"57,977"
Chin,Matupi,Matupi,"56,563","56,563","30,610","143,736"
Chin,Matupi,Paletwa,"106,903","106,903","36,528","250,334"
Chin,Mindat,Kanpetlet,"23,674","23,674","23,226","70,574"
Chin,Mindat,Mindat,"46,923","46,923","46,923","140,770"
Kachin,Bhamo,Bhamo,"165,120",,,"165,120"
Kachin,Bhamo,Mansi,"10,457",,,"10,457"
Kachin,Bhamo,Momauk,"47,863",,,"47,863"
Kachin,Bhamo,Shwegu,"116,501",,,"116,501"
Kachin,Mohnyin,Hpakant,"407,711",,,"407,711"
Kachin,Mohnyin,Mogaung,"162,992",,,"162,992"
Kachin,Mohnyin,Mohnyin,"255,856","4,815",,"260,671"
Kachin,Myitkyina,Chipwi, -   ,,, -   
Kachin,Myitkyina,Injangyang,"1,984",,,"1,984"
Kachin,Myitkyina,Myitkyina,"390,375",,,"390,375"
Kachin,Myitkyina,Tanai,"19,111",,,"19,111"
Kachin,Myitkyina,Tsawlaw, -   ,,, -   
Kachin,Myitkyina,Waingmaw,"126,527",,,"126,527"
Kachin,Puta-O,Khaunglanhpu, -   ,,, -   
Kachin,Puta-O,Machanbaw, -   ,,, -   
Kachin,Puta-O,Puta-O, -   ,,, -   
Kachin,Puta-O,Sumprabum, -   ,,, -   
Magway,Gangaw,Gangaw,"133,845","133,845","122,933","390,622"
Magway,Gangaw,Saw,"68,980","68,980","68,694","206,655"
Magway,Gangaw,Tilin,"49,068","49,068","49,068","147,203"
Magway,Magway,Chauk,"185,992","13,663",,"199,655"
Magway,Magway,Magway,"290,440",,,"290,440"
Magway,Magway,Myothit,"160,169",,,"160,169"
Magway,Magway,Natmauk,"207,850",,,"207,850"
Magway,Magway,Taungdwingyi,"260,932",,,"260,932"
Magway,Magway,Yenangyaung,"134,780",,,"134,780"
Magway,Minbu,Minbu,"188,958",,,"188,958"
Magway,Minbu,Ngape,"52,357", -   ,,"52,357"
Magway,Minbu,Pwintbyu,"164,367","20,803",,"185,170"
