ST,DT,TS,60km,90km,120km, Total 
State,District,Township, 60 km/h , 90 km/h , 120 km/h , Total 
Ayeyarwady,Hinthada,Hinthada,"21,890",,,"21,890"
Ayeyarwady,Hinthada,Ingapu,"200,140",,,"200,140"
Ayeyarwady,Hinthada,Kyangin,"98,995",,,"98,995"
Ayeyarwady,Hinthada,Lemyethna,"75,979",,,"75,979"
Ayeyarwady,Hinthada,Myanaung,"218,524",,,"218,524"
Ayeyarwady,Pathein,Kangyidaunt,"2,670",,,"2,670"
Ayeyarwady,Pathein,Ngapudaw,"67,593",,,"67,593"
Ayeyarwady,Pathein,Pathein,"202,763",,,"202,763"
Ayeyarwady,Pathein,Thabaung,"103,522",,,"103,522"
Ayeyarwady,Pathein,Yegyi,"85,825",,,"85,825"
Bago (East),Taungoo,Oktwin,852,,,852
Bago (East),Taungoo,Phyu,54,,,54
Bago (East),Taungoo,Taungoo,"2,271",,,"2,271"
Bago (East),Taungoo,Yedashe,"9,462",,,"9,462"
Bago (West),Pyay,Padaung,"154,558",,,"154,558"
Bago (West),Pyay,Paukkhaung,"133,646",,,"133,646"
Bago (West),Pyay,Paungde,"147,260",,,"147,260"
Bago (West),Pyay,Pyay,"269,306",,,"269,306"
Bago (West),Pyay,Shwedaung,"130,224",,,"130,224"
Bago (West),Pyay,Thegon,"140,194",,,"140,194"
Bago (West),Thayarwady,Gyobingauk,"16,291",,,"16,291"
Bago (West),Thayarwady,Monyo,"67,784",,,"67,784"
Bago (West),Thayarwady,Nattalin,"149,381",,,"149,381"
Bago (West),Thayarwady,Zigon,"35,656",,,"35,656"
Chin,Falam,Falam,"52,907","10,006",,"62,913"
Chin,Falam,Tedim,"96,518",,,"96,518"
Chin,Falam,Tonzang,"34,231",,,"34,231"
Chin,Hakha,Hakha,"53,261","47,441","8,800","109,503"
Chin,Hakha,Thantlang,"55,183","13,857",,"69,041"
Chin,Matupi,Matupi,"56,485","56,317","26,367","139,169"
Chin,Matupi,Paletwa,"106,179","94,702","35,868","236,749"
Chin,Mindat,Kanpetlet,"23,676","23,676","23,338","70,690"
Chin,Mindat,Mindat,"46,922","46,922","46,922","140,767"
Kachin,Bhamo,Bhamo,"167,250",,,"167,250"
Kachin,Bhamo,Mansi,"13,245",,,"13,245"
Kachin,Bhamo,Momauk,"34,394",,,"34,394"
Kachin,Bhamo,Shwegu,"116,311",,,"116,311"
Kachin,Mohnyin,Hpakant,"404,391",,,"404,391"
Kachin,Mohnyin,Mogaung,"163,287",,,"163,287"
Kachin,Mohnyin,Mohnyin,"256,509","7,709",,"264,218"
Kachin,Myitkyina,Chipwi,892,,,892
Kachin,Myitkyina,Injangyang,"2,080",,,"2,080"
Kachin,Myitkyina,Myitkyina,"389,435",,,"389,435"
Kachin,Myitkyina,Tanai,"30,214",,,"30,214"
Kachin,Myitkyina,Tsawlaw,768,,,768
Kachin,Myitkyina,Waingmaw,"122,873",,,"122,873"
Kachin,Puta-O,Khaunglanhpu,198,,,198
Kachin,Puta-O,Machanbaw,371,,,371
Kachin,Puta-O,Puta-O,"1,856",,,"1,856"
Kachin,Puta-O,Sumprabum,"3,064",,,"3,064"
Magway,Gangaw,Gangaw,"133,838","133,838","101,905","369,581"
Magway,Gangaw,Saw,"68,979","68,979","62,752","200,709"
