CODE,Аймаг,Aimag,Сум,Soum,ургац,Crop,Year1
CODE,Аймаг,Aimag,Сум,Soum,ургац,Crop,2019
18101,Завхан,Zavkhan,Улиастай,Uliastai,Тэжээлийн ургамал,Fodder crops,90
18101,Завхан,Zavkhan,Улиастай,Uliastai,"Бэлтгэсэн өвс, хадлан",Hay harvest,667.5
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,Тэжээлийн ургамал,Fodder crops,68
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,"Бэлтгэсэн өвс, хадлан",Hay harvest,2876
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,Гар тэжээл,Handmade fodder,2
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,Хужир шүү,Mineral fodder,257.9
18107,Завхан,Zavkhan,Асгат,Asgat,Тэжээлийн ургамал,Fodder crops,656
18107,Завхан,Zavkhan,Асгат,Asgat,"Бэлтгэсэн өвс, хадлан",Hay harvest,1481.5
18107,Завхан,Zavkhan,Асгат,Asgat,Гар тэжээл,Handmade fodder,0
18107,Завхан,Zavkhan,Асгат,Asgat,Хужир шүү,Mineral fodder,204.6
18110,Завхан,Zavkhan,Баянтэс,Bayantes,Тэжээлийн ургамал,Fodder crops,48
18110,Завхан,Zavkhan,Баянтэс,Bayantes,"Бэлтгэсэн өвс, хадлан",Hay harvest,2512
18110,Завхан,Zavkhan,Баянтэс,Bayantes,Хужир шүү,Mineral fodder,165.9
18113,Завхан,Zavkhan,Баянхайрхан,Bayankhairkhan,"Бэлтгэсэн өвс, хадлан",Hay harvest,557
18113,Завхан,Zavkhan,Баянхайрхан,Bayankhairkhan,Гар тэжээл,Handmade fodder,12.3
18113,Завхан,Zavkhan,Баянхайрхан,Bayankhairkhan,Хужир шүү,Mineral fodder,307
18116,Завхан,Zavkhan,Дөрвөлжин,Durvuljin,"Бэлтгэсэн өвс, хадлан",Hay harvest,114
18116,Завхан,Zavkhan,Дөрвөлжин,Durvuljin,Хужир шүү,Mineral fodder,113
18119,Завхан,Zavkhan,Завханмандал,Zavkhanmandal,"Бэлтгэсэн өвс, хадлан",Hay harvest,91.5
18119,Завхан,Zavkhan,Завханмандал,Zavkhanmandal,Гар тэжээл,Handmade fodder,15.3
18119,Завхан,Zavkhan,Завханмандал,Zavkhanmandal,Хужир шүү,Mineral fodder,14
18122,Завхан,Zavkhan,Идэр,Ider,Тэжээлийн ургамал,Fodder crops,108
18122,Завхан,Zavkhan,Идэр,Ider,"Бэлтгэсэн өвс, хадлан",Hay harvest,354
18122,Завхан,Zavkhan,Идэр,Ider,Гар тэжээл,Handmade fodder,0.322
18122,Завхан,Zavkhan,Идэр,Ider,Хужир шүү,Mineral fodder,30.6
18125,Завхан,Zavkhan,Их-Уул,Ikh-Uul,Тэжээлийн ургамал,Fodder crops,26
18125,Завхан,Zavkhan,Их-Уул,Ikh-Uul,"Бэлтгэсэн өвс, хадлан",Hay harvest,588.5
18125,Завхан,Zavkhan,Их-Уул,Ikh-Uul,Гар тэжээл,Handmade fodder,6
18125,Завхан,Zavkhan,Их-Уул,Ikh-Uul,Хужир шүү,Mineral fodder,43
18128,Завхан,Zavkhan,Нөмрөг,Numrug,Тэжээлийн ургамал,Fodder crops,90
18128,Завхан,Zavkhan,Нөмрөг,Numrug,"Бэлтгэсэн өвс, хадлан",Hay harvest,1032.1
18128,Завхан,Zavkhan,Нөмрөг,Numrug,Гар тэжээл,Handmade fodder,18
18128,Завхан,Zavkhan,Нөмрөг,Numrug,Хужир шүү,Mineral fodder,81.1
