TBL_ID,Period,CODE,SCR_MN,SCR_ENG,CODE1,SCR_MN1,SCR_ENG1,CODE2,SCR_MN2,SCR_ENG2,DTVAL_CO
DT_NSO_1001_021V1,2019,18101,Улиастай,Uliastai,1,Бүгд,Total,,,,154001
DT_NSO_1001_021V1,2019,18104,Алдархаан,Aldarkhaan,1,Бүгд,Total,,,,316100
DT_NSO_1001_021V1,2019,18107,Асгат,Asgat,1,Бүгд,Total,,,,52892
DT_NSO_1001_021V1,2019,18110,Баянтэс,Bayantes,1,Бүгд,Total,,,,180688
DT_NSO_1001_021V1,2019,18113,Баянхайрхан,Bayankhairkhan,1,Бүгд,Total,,,,130243
DT_NSO_1001_021V1,2019,18116,Дөрвөлжин,Durvuljin,1,Бүгд,Total,,,,170936
DT_NSO_1001_021V1,2019,18119,Завханмандал,Zavkhanmandal,1,Бүгд,Total,,,,97415
DT_NSO_1001_021V1,2019,18122,Идэр,Ider,1,Бүгд,Total,,,,123232
DT_NSO_1001_021V1,2019,18125,Их-Уул,Ikh-Uul,1,Бүгд,Total,,,,289268
DT_NSO_1001_021V1,2019,18128,Нөмрөг,Numrug,1,Бүгд,Total,,,,134706
DT_NSO_1001_021V1,2019,18131,Отгон,Otgon,1,Бүгд,Total,,,,232539
DT_NSO_1001_021V1,2019,18134,Сантмаргац,Santmargats,1,Бүгд,Total,,,,156914
DT_NSO_1001_021V1,2019,18137,Сонгино,Songino,1,Бүгд,Total,,,,121128
DT_NSO_1001_021V1,2019,18140,Тосонцэнгэл,Tosontsengel,1,Бүгд,Total,,,,196014
DT_NSO_1001_021V1,2019,18143,Түдэвтэй,Tudevtei,1,Бүгд,Total,,,,133415
DT_NSO_1001_021V1,2019,18146,Тэлмэн,Telmen,1,Бүгд,Total,,,,162419
DT_NSO_1001_021V1,2019,18149,Тэс,Tes,1,Бүгд,Total,,,,115385
DT_NSO_1001_021V1,2019,18152,Ургамал,Urgamal,1,Бүгд,Total,,,,109063
DT_NSO_1001_021V1,2019,18155,Цагаанхайрхан,Tsagaankhairkhan,1,Бүгд,Total,,,,106682
DT_NSO_1001_021V1,2019,18158,Цагаанчулуут,Tsagaanchuluut,1,Бүгд,Total,,,,111905
DT_NSO_1001_021V1,2019,18161,Цэцэн-Уул,Tsetsen-Uul,1,Бүгд,Total,,,,168523
DT_NSO_1001_021V1,2019,18164,Шилүүстэй,Shiluustei,1,Бүгд,Total,,,,141372
DT_NSO_1001_021V1,2019,18167,Эрдэнэхайрхан,Erdenekhairkhan,1,Бүгд,Total,,,,219465
DT_NSO_1001_021V1,2019,18170,Яруу,Yaruu,1,Бүгд,Total,,,,225601
DT_NSO_1001_021V1,2019,18201,Есөнбулаг,Yesunbulag,1,Бүгд,Total,,,,232589
DT_NSO_1001_021V1,2019,18204,Алтай,Altai,1,Бүгд,Total,,,,151367
DT_NSO_1001_021V1,2019,18207,Баян-Уул,Bayan-Uul,1,Бүгд,Total,,,,192676
DT_NSO_1001_021V1,2019,18210,Бигэр,Biger,1,Бүгд,Total,,,,184002
DT_NSO_1001_021V1,2019,18213,Бугат,Bugat,1,Бүгд,Total,,,,181103
DT_NSO_1001_021V1,2019,18216,Дарив,Dariv,1,Бүгд,Total,,,,119860
DT_NSO_1001_021V1,2019,18219,Дэлгэр,Delger,1,Бүгд,Total,,,,305817
DT_NSO_1001_021V1,2019,18222,Жаргалан,Jargalan,1,Бүгд,Total,,,,193835
DT_NSO_1001_021V1,2019,18225,Тайшир,Taishir,1,Бүгд,Total,,,,132607
DT_NSO_1001_021V1,2019,18228,Тонхил,Tonkhil,1,Бүгд,Total,,,,210048
DT_NSO_1001_021V1,2019,18231,Төгрөг,Tugrug,1,Бүгд,Total,,,,121261
DT_NSO_1001_021V1,2019,18234,Халиун,Khaliun,1,Бүгд,Total,,,,247231
