Period,CODE,SCR_MN,SCR_ENG,CODE1,SCR_MN1,SCR_ENG1,DTVAL_CO,CODE2
2018,0,_____ ___,Total,1,____,Total,105730,1
2018,0,_____ ___,Total,11,_______,Male,59691,1
2018,0,_____ ___,Total,12,_______,Female,46039,1
2018,1,______ ___,Western region,1,____,Total,17848,1
2018,1,____,Total,1,______ ___,Western region,17848,1
2018,1,______ ___,Western region,11,_______,Male,9869,1
2018,1,______ ___,Western region,12,_______,Female,7979,1
2018,181,______,Zavkhan,1,____,Total,3696,181
2018,181,______,Zavkhan,11,_______,Male,2048,181
2018,181,______,Zavkhan,12,_______,Female,1648,181
2018,182,____-_____,Govi-Altai,1,____,Total,2789,182
2018,182,____-_____,Govi-Altai,11,_______,Male,1604,182
2018,182,____-_____,Govi-Altai,12,_______,Female,1185,182
2018,183,____-_____,Bayan-Ulgii,1,____,Total,4168,183
2018,183,____-_____,Bayan-Ulgii,11,_______,Male,2080,183
2018,183,____-_____,Bayan-Ulgii,12,_______,Female,2088,183
2018,184,____,Khovd,1,____,Total,2639,184
2018,184,____,Khovd,11,_______,Male,1544,184
2018,184,____,Khovd,12,_______,Female,1095,184
2018,185,___,Uvs,1,____,Total,4556,185
2018,185,___,Uvs,11,_______,Male,2593,185
2018,185,___,Uvs,12,_______,Female,1963,185
2018,2,_______ ___,Khangai region,1,____,Total,22935,1
2018,2,_______ ___,Khangai region,11,_______,Male,12933,1
2018,2,_______ ___,Khangai region,12,_______,Female,10002,1
2018,261,_____,Orkhon,1,____,Total,4315,161
2018,261,_____,Orkhon,11,_______,Male,2352,161
2018,261,_____,Orkhon,12,_______,Female,1963,161
2018,262,__________,Uvurkhangai,1,____,Total,4103,162
2018,262,__________,Uvurkhangai,11,_______,Male,2353,162
2018,262,__________,Uvurkhangai,12,_______,Female,1750,162
2018,263,______,Bulgan,1,____,Total,2056,163
2018,263,______,Bulgan,11,_______,Male,1199,163
2018,263,______,Bulgan,12,_______,Female,857,163
2018,264,__________,Bayankhongor,1,____,Total,3322,164
2018,264,__________,Bayankhongor,11,_______,Male,1835,164
2018,264,__________,Bayankhongor,12,_______,Female,1487,164
2018,265,________,Arkhangai,1,____,Total,3523,165
2018,265,________,Arkhangai,11,_______,Male,2072,165
2018,265,________,Arkhangai,12,_______,Female,1451,165
2018,267,_______,Khuvsgul,1,____,Total,5616,167
2018,267,_______,Khuvsgul,11,_______,Male,3122,167
2018,267,_______,Khuvsgul,12,_______,Female,2494,167
2018,3,______ ___,Central region,1,____,Total,19227,1
2018,3,______ ___,Central region,11,_______,Male,11147,1
2018,3,______ ___,Central region,12,_______,Female,8080,1
2018,341,___,Tuv,1,____,Total,3211,141
2018,341,___,Tuv,11,_______,Male,1936,141
2018,341,___,Tuv,12,_______,Female,1275,141
2018,342,__________,Govisumber,1,____,Total,729,142
2018,342,__________,Govisumber,11,_______,Male,421,142
2018,342,__________,Govisumber,12,_______,Female,308,142
2018,343,_______,Selenge,1,____,Total,4616,143
2018,343,_______,Selenge,11,_______,Male,2655,143
2018,343,_______,Selenge,12,_______,Female,1961,143
2018,344,_________,Dornogovi,1,____,Total,2598,144
2018,344,_________,Dornogovi,11,_______,Male,1595,144
2018,344,_________,Dornogovi,12,_______,Female,1003,144
2018,345,______-___,Darkhan-Uul,1,____,Total,4262,145
2018,345,______-___,Darkhan-Uul,11,_______,Male,2398,145
2018,345,______-___,Darkhan-Uul,12,_______,Female,1864,145
2018,346,________,Umnugovi,1,____,Total,1985,146
2018,346,________,Umnugovi,11,_______,Male,1086,146
2018,346,________,Umnugovi,12,_______,Female,899,146
2018,348,________,Dundgovi,1,____,Total,1826,148
2018,348,________,Dundgovi,11,_______,Male,1056,148
2018,348,________,Dundgovi,12,_______,Female,770,148
2018,4,____ ___,Eastern region,1,____,Total,10131,1
2018,4,____ ___,Eastern region,11,_______,Male,6014,1
2018,4,____ ___,Eastern region,12,_______,Female,4117,1
2018,421,______,Dornod,1,____,Total,4328,121
2018,421,______,Dornod,11,_______,Male,2505,121
2018,421,______,Dornod,12,_______,Female,1823,121
2018,422,_________,Sukhbaatar,1,____,Total,2603,122
2018,422,_________,Sukhbaatar,11,_______,Male,1492,122
2018,422,_________,Sukhbaatar,12,_______,Female,1111,122
2018,423,______,Khentii,1,____,Total,3200,123
2018,423,______,Khentii,11,_______,Male,2017,123
2018,423,______,Khentii,12,_______,Female,1183,123
2018,5,___________,Ulaanbaatar,1,____,Total,35589,1
2018,5,___________,Ulaanbaatar,11,_______,Male,19728,1
2018,5,___________,Ulaanbaatar,12,_______,Female,15861,1
2018,511,___________,Ulaanbaatar,1,____,Total,35589,111
2018,511,___________,Ulaanbaatar,11,_______,Male,19728,111
2018,511,___________,Ulaanbaatar,12,_______,Female,15861,111
2017,0,_____ ___,Total,1,____,Total,103630,1
2017,0,_____ ___,Total,11,_______,Male,57310,1
2017,0,_____ ___,Total,12,_______,Female,46320,1
2017,1,______ ___,Western region,1,____,Total,17294,1
2017,1,____,Total,1,______ ___,Western region,17294,1
2017,1,______ ___,Western region,11,_______,Male,9179,1
2017,1,______ ___,Western region,12,_______,Female,8115,1
2017,181,______,Zavkhan,1,____,Total,3645,181
2017,181,______,Zavkhan,11,_______,Male,2056,181
2017,181,______,Zavkhan,12,_______,Female,1589,181
2017,182,____-_____,Govi-Altai,1,____,Total,2189,182
2017,182,____-_____,Govi-Altai,11,_______,Male,1225,182
2017,182,____-_____,Govi-Altai,12,_______,Female,964,182
2017,183,____-_____,Bayan-Ulgii,1,____,Total,4608,183
2017,183,____-_____,Bayan-Ulgii,11,_______,Male,2176,183
2017,183,____-_____,Bayan-Ulgii,12,_______,Female,2432,183
2017,184,____,Khovd,1,____,Total,2727,184
2017,184,____,Khovd,11,_______,Male,1453,184
2017,184,____,Khovd,12,_______,Female,1274,184
2017,185,___,Uvs,1,____,Total,4125,185
2017,185,___,Uvs,11,_______,Male,2269,185
2017,185,___,Uvs,12,_______,Female,1856,185
2017,2,_______ ___,Khangai region,1,____,Total,23115,1
2017,2,_______ ___,Khangai region,11,_______,Male,13204,1
2017,2,_______ ___,Khangai region,12,_______,Female,9911,1
2017,261,_____,Orkhon,1,____,Total,4115,161
2017,261,_____,Orkhon,11,_______,Male,2403,161
2017,261,_____,Orkhon,12,_______,Female,1712,161
2017,262,__________,Uvurkhangai,1,____,Total,3870,162
2017,262,__________,Uvurkhangai,11,_______,Male,2219,162
2017,262,__________,Uvurkhangai,12,_______,Female,1651,162
