CODE,Аймаг,Aimag,Сум,Soum,насны ангилал,Age Group,Year1
CODE,Аймаг,Aimag,Сум,Soum,насны ангилал,Age Group,2019
18101,Завхан,Zavkhan,Улиастай,Uliastai,Бүгд,Total,16301
18101,Завхан,Zavkhan,Улиастай,Uliastai,40-44,40-44,1063
18101,Завхан,Zavkhan,Улиастай,Uliastai,45-49,45-49,1080
18101,Завхан,Zavkhan,Улиастай,Uliastai,50-54,50-54,974
18101,Завхан,Zavkhan,Улиастай,Uliastai,55-59,55-59,868
18101,Завхан,Zavkhan,Улиастай,Uliastai,60-64,60-64,541
18101,Завхан,Zavkhan,Улиастай,Uliastai,65-69,65-69,279
18101,Завхан,Zavkhan,Улиастай,Uliastai,70+,70+,512
18101,Завхан,Zavkhan,Улиастай,Uliastai,0-4,0-4,1788
18101,Завхан,Zavkhan,Улиастай,Uliastai,5-9,5-9,1797
18101,Завхан,Zavkhan,Улиастай,Uliastai,10-14,10-14,1498
18101,Завхан,Zavkhan,Улиастай,Uliastai,15-19,15-19,1134
18101,Завхан,Zavkhan,Улиастай,Uliastai,20-24,20-24,1175
18101,Завхан,Zavkhan,Улиастай,Uliastai,25-29,25-29,1256
18101,Завхан,Zavkhan,Улиастай,Uliastai,30-34,30-34,1206
18101,Завхан,Zavkhan,Улиастай,Uliastai,35-39,35-39,1130
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,Бүгд,Total,2923
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,40-44,40-44,245
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,45-49,45-49,221
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,50-54,50-54,156
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,55-59,55-59,152
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,60-64,60-64,102
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,65-69,65-69,58
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,70+,70+,81
